ASX code,Company name,Listing date,GICs industry group,Yahoo
14D,1414 DEGREES LIMITED,2018-09-12,Capital Goods,"{""quoteResponse"": {""result"": [{""exchangeTimezoneName"": ""Australia/Sydney"", ""fullExchangeName"": ""ASX"", ""symbol"": ""14D.AX"", ""gmtOffSetMilliseconds"": 39600000, ""exchangeDataDelayedBy"": 0, ""firstTradeDateMilliseconds"": 1536710400000, ""language"": ""en-AU"", ""regularMarketTime"": {""raw"": 1615869734, ""fmt"": ""3:42PM AEDT""}, ""exchangeTimezoneShortName"": ""AEDT"", ""quoteType"": ""EQUITY"", ""regularMarketPrice"": {""raw"": 0.215, ""fmt"": ""0.2150""}, ""marketState"": ""PREPRE"", ""market"": ""au_market"", ""quoteSourceName"": ""Delayed Quote"", ""priceHint"": 4, ""tradeable"": false, ""sourceInterval"": 20, ""exchange"": ""ASX"", ""region"": ""AU"", ""shortName"": ""1414DEGREE FPO"", ""triggerable"": false, ""longName"": ""1414 Degrees Limited""}], ""error"": null}}"
1AD,ADALTA LIMITED,2016-08-22,"Pharmaceuticals, Biotechnology & Life Sciences","{""quoteResponse"": {""result"": [{""fullExchangeName"": ""ASX"", ""exchangeTimezoneName"": ""Australia/Sydney"", ""symbol"": ""1AD.AX"", ""gmtOffSetMilliseconds"": 39600000, ""firstTradeDateMilliseconds"": 1471824000000, ""exchangeDataDelayedBy"": 0, ""language"": ""en-AU"", ""regularMarketTime"": {""raw"": 1615869485, ""fmt"": ""3:38PM AEDT""}, ""exchangeTimezoneShortName"": ""AEDT"", ""quoteType"": ""EQUITY"", ""regularMarketPrice"": {""raw"": 0.18, ""fmt"": ""0.1800""}, ""marketState"": ""PREPRE"", ""market"": ""au_market"", ""quoteSourceName"": ""Delayed Quote"", ""priceHint"": 4, ""tradeable"": false, ""sourceInterval"": 20, ""exchange"": ""ASX"", ""region"": ""AU"", ""shortName"": ""ADALTA FPO"", ""triggerable"": false, ""longName"": ""AdAlta Limited""}], ""error"": null}}"
1AG,ALTERRA LIMITED,2008-05-16,Commercial & Professional Services,"{""quoteResponse"": {""result"": [{""exchangeTimezoneName"": ""Australia/Sydney"", ""fullExchangeName"": ""ASX"", ""symbol"": ""1AG.AX"", ""gmtOffSetMilliseconds"": 39600000, ""firstTradeDateMilliseconds"": 1210896000000, ""exchangeDataDelayedBy"": 0, ""language"": ""en-AU"", ""regularMarketTime"": {""raw"": 1615871426, ""fmt"": ""4:10PM AEDT""}, ""exchangeTimezoneShortName"": ""AEDT"", ""quoteType"": ""EQUITY"", ""marketState"": ""PREPRE"", ""regularMarketPrice"": {""raw"": 0.042, ""fmt"": ""0.0420""}, ""market"": ""au_market"", ""quoteSourceName"": ""Delayed Quote"", ""priceHint"": 4, ""tradeable"": false, ""exchange"": ""ASX"", ""sourceInterval"": 20, ""shortName"": ""ALTERRA FPO"", ""region"": ""AU"", ""triggerable"": false, ""longName"": ""Alterra Limited""}], ""error"": null}}"
1ST,1ST GROUP LIMITED,2015-06-09,Health Care Equipment & Services,"{""quoteResponse"": {""result"": [{""exchangeTimezoneName"": ""Australia/Sydney"", ""fullExchangeName"": ""ASX"", ""symbol"": ""1ST.AX"", ""gmtOffSetMilliseconds"": 39600000, ""firstTradeDateMilliseconds"": 1433808000000, ""exchangeDataDelayedBy"": 0, ""language"": ""en-AU"", ""regularMarketTime"": {""raw"": 1615867566, ""fmt"": ""3:06PM AEDT""}, ""exchangeTimezoneShortName"": ""AEDT"", ""quoteType"": ""EQUITY"", ""marketState"": ""PREPRE"", ""regularMarketPrice"": {""raw"": 0.036, ""fmt"": ""0.0360""}, ""market"": ""au_market"", ""quoteSourceName"": ""Delayed Quote"", ""priceHint"": 4, ""tradeable"": false, ""exchange"": ""ASX"", ""sourceInterval"": 20, ""shortName"": ""1ST GROUP FPO"", ""region"": ""AU"", ""triggerable"": false, ""longName"": ""1st Group Limited""}], ""error"": null}}"
2BE,TUBI LIMITED,2019-06-14,Energy,"{""quoteResponse"": {""result"": [{""exchangeTimezoneName"": ""Australia/Sydney"", ""fullExchangeName"": ""ASX"", ""symbol"": ""2BE.AX"", ""gmtOffSetMilliseconds"": 39600000, ""exchangeDataDelayedBy"": 0, ""firstTradeDateMilliseconds"": 1560470400000, ""language"": ""en-AU"", ""regularMarketTime"": {""raw"": 1615871426, ""fmt"": ""4:10PM AEDT""}, ""exchangeTimezoneShortName"": ""AEDT"", ""quoteType"": ""EQUITY"", ""regularMarketPrice"": {""raw"": 0.048, ""fmt"": ""0.0480""}, ""marketState"": ""PREPRE"", ""market"": ""au_market"", ""quoteSourceName"": ""Delayed Quote"", ""priceHint"": 4, ""tradeable"": false, ""sourceInterval"": 20, ""exchange"": ""ASX"", ""region"": ""AU"", ""shortName"": ""TUBI FPO"", ""triggerable"": false, ""longName"": ""Tubi Limited""}], ""error"": null}}"
360,LIFE360 INC.,2019-05-10,Software & Services,"{""quoteResponse"": {""result"": [{""exchangeTimezoneName"": ""Australia/Sydney"", ""fullExchangeName"": ""ASX"", ""symbol"": ""360.AX"", ""gmtOffSetMilliseconds"": 39600000, ""firstTradeDateMilliseconds"": 1557446400000, ""exchangeDataDelayedBy"": 0, ""language"": ""en-AU"", ""regularMarketTime"": {""raw"": 1615871426, ""fmt"": ""4:10PM AEDT""}, ""exchangeTimezoneShortName"": ""AEDT"", ""quoteType"": ""EQUITY"", ""marketState"": ""PREPRE"", ""regularMarketPrice"": {""raw"": 4.32, ""fmt"": ""4.3200""}, ""market"": ""au_market"", ""quoteSourceName"": ""Delayed Quote"", ""priceHint"": 4, ""tradeable"": false, ""exchange"": ""ASX"", ""sourceInterval"": 20, ""shortName"": ""LIFE360 CDI FORUS"", ""region"": ""AU"", ""triggerable"": false, ""longName"": ""Life360, Inc.""}], ""error"": null}}"
3DA,AMAERO INTERNATIONAL LTD,2019-12-06,Capital Goods,"{""quoteResponse"": {""result"": [{""exchangeTimezoneName"": ""Australia/Sydney"", ""fullExchangeName"": ""ASX"", ""symbol"": ""3DA.AX"", ""gmtOffSetMilliseconds"": 39600000, ""firstTradeDateMilliseconds"": 1575586800000, ""exchangeDataDelayedBy"": 0, ""language"": ""en-AU"", ""regularMarketTime"": {""raw"": 1615870796, ""fmt"": ""3:59PM AEDT""}, ""exchangeTimezoneShortName"": ""AEDT"", ""quoteType"": ""EQUITY"", ""marketState"": ""PREPRE"", ""regularMarketPrice"": {""raw"": 0.645, ""fmt"": ""0.6450""}, ""market"": ""au_market"", ""quoteSourceName"": ""Delayed Quote"", ""priceHint"": 4, ""tradeable"": false, ""exchange"": ""ASX"", ""sourceInterval"": 20, ""shortName"": ""AMAEROINT FPO"", ""region"": ""AU"", ""triggerable"": false, ""longName"": ""Amaero International Ltd""}], ""error"": null}}"
3DP,POINTERRA LIMITED,2008-03-27,Software & Services,"{""quoteResponse"": {""result"": [{""exchangeTimezoneName"": ""Australia/Sydney"", ""fullExchangeName"": ""ASX"", ""symbol"": ""3DP.AX"", ""gmtOffSetMilliseconds"": 39600000, ""firstTradeDateMilliseconds"": 1206572400000, ""exchangeDataDelayedBy"": 0, ""language"": ""en-AU"", ""regularMarketTime"": {""raw"": 1615871426, ""fmt"": ""4:10PM AEDT""}, ""exchangeTimezoneShortName"": ""AEDT"", ""quoteType"": ""EQUITY"", ""marketState"": ""PREPRE"", ""regularMarketPrice"": {""raw"": 0.705, ""fmt"": ""0.7050""}, ""market"": ""au_market"", ""quoteSourceName"": ""Delayed Quote"", ""priceHint"": 4, ""tradeable"": false, ""exchange"": ""ASX"", ""sourceInterval"": 20, ""shortName"": ""POINTERRA FPO"", ""region"": ""AU"", ""triggerable"": false, ""longName"": ""Pointerra Limited""}], ""error"": null}}"
3MF,3D METALFORGE LIMITED,2021-03-02,Commercial & Professional Services,"{""quoteResponse"": {""result"": [{""fullExchangeName"": ""ASX"", ""exchangeTimezoneName"": ""Australia/Sydney"", ""symbol"": ""3MF.AX"", ""gmtOffSetMilliseconds"": 39600000, ""firstTradeDateMilliseconds"": 1614639600000, ""exchangeDataDelayedBy"": 0, ""language"": ""en-AU"", ""regularMarketTime"": {""raw"": 1615870075, ""fmt"": ""3:47PM AEDT""}, ""exchangeTimezoneShortName"": ""AEDT"", ""quoteType"": ""EQUITY"", ""regularMarketPrice"": {""raw"": 0.23, ""fmt"": ""0.2300""}, ""marketState"": ""PREPRE"", ""market"": ""au_market"", ""quoteSourceName"": ""Delayed Quote"", ""priceHint"": 4, ""tradeable"": false, ""sourceInterval"": 20, ""exchange"": ""ASX"", ""region"": ""AU"", ""shortName"": ""3DMETALFL FPO"", ""triggerable"": false, ""longName"": ""3D Metalforge Limited""}], ""error"": null}}"
3PL,3P LEARNING LIMITED..,2014-07-09,Consumer Services,"{""quoteResponse"": {""result"": [{""exchangeTimezoneName"": ""Australia/Sydney"", ""fullExchangeName"": ""ASX"", ""symbol"": ""3PL.AX"", ""gmtOffSetMilliseconds"": 39600000, ""firstTradeDateMilliseconds"": 1404864000000, ""exchangeDataDelayedBy"": 0, ""language"": ""en-AU"", ""regularMarketTime"": {""raw"": 1615871426, ""fmt"": ""4:10PM AEDT""}, ""exchangeTimezoneShortName"": ""AEDT"", ""quoteType"": ""EQUITY"", ""regularMarketPrice"": {""raw"": 1.275, ""fmt"": ""1.2750""}, ""marketState"": ""PREPRE"", ""market"": ""au_market"", ""quoteSourceName"": ""Delayed Quote"", ""priceHint"": 4, ""tradeable"": false, ""exchange"": ""ASX"", ""sourceInterval"": 20, ""region"": ""AU"", ""shortName"": ""3PLEARNING FPO"", ""triggerable"": false, ""longName"": ""3P Learning Limited""}], ""error"": null}}"
