Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry,Yahoo
AACG,ATA Creativity Global American Depositary Shares,$4.50,-0.28,-5.858%,141077255.00,China,,384384,Consumer Services,Other Consumer Services,"{""quoteResponse"": {""result"": [{""fullExchangeName"": ""NasdaqGS"", ""exchangeTimezoneName"": ""America/New_York"", ""symbol"": ""AACG"", ""gmtOffSetMilliseconds"": -14400000, ""exchangeDataDelayedBy"": 0, ""language"": ""en-AU"", ""regularMarketTime"": {""raw"": 1615922510, ""fmt"": ""3:21PM EDT""}, ""exchangeTimezoneShortName"": ""EDT"", ""quoteType"": ""EQUITY"", ""marketState"": ""REGULAR"", ""regularMarketPrice"": {""raw"": 4.3, ""fmt"": ""4.3000""}, ""market"": ""us_market"", ""quoteSourceName"": ""Nasdaq Real Time Price"", ""priceHint"": 4, ""tradeable"": false, ""sourceInterval"": 15, ""exchange"": ""NMS"", ""shortName"": ""ATA Creativity Global"", ""region"": ""AU"", ""triggerable"": true, ""longName"": ""ATA Creativity Global""}], ""error"": null}}"
AACQ,Artius Acquisition Inc. Class A Common Stock,$10.715,-0.065,-0.603%,970377188.00,United States,2020,1065383,Finance,Business Services,"{""quoteResponse"": {""result"": [{""exchangeTimezoneName"": ""America/New_York"", ""fullExchangeName"": ""NasdaqCM"", ""symbol"": ""AACQ"", ""gmtOffSetMilliseconds"": -14400000, ""exchangeDataDelayedBy"": 0, ""language"": ""en-AU"", ""regularMarketTime"": {""raw"": 1615922780, ""fmt"": ""3:26PM EDT""}, ""exchangeTimezoneShortName"": ""EDT"", ""quoteType"": ""EQUITY"", ""regularMarketPrice"": {""raw"": 10.435, ""fmt"": ""10.44""}, ""marketState"": ""REGULAR"", ""market"": ""us_market"", ""quoteSourceName"": ""Nasdaq Real Time Price"", ""priceHint"": 2, ""tradeable"": false, ""sourceInterval"": 15, ""exchange"": ""NCM"", ""region"": ""AU"", ""shortName"": ""Artius Acquisition Inc."", ""triggerable"": true, ""longName"": ""Artius Acquisition Inc.""}], ""error"": null}}"
AACQU,Artius Acquisition Inc. Unit ,$11.57,-0.02,-0.173%,0.00,United States,2020,3969,Finance,Business Services,"{""quoteResponse"": {""result"": [{""exchangeTimezoneName"": ""America/New_York"", ""fullExchangeName"": ""NasdaqGS"", ""symbol"": ""AACQU"", ""gmtOffSetMilliseconds"": -14400000, ""exchangeDataDelayedBy"": 0, ""language"": ""en-AU"", ""regularMarketTime"": {""raw"": 1615918033, ""fmt"": ""2:07PM EDT""}, ""exchangeTimezoneShortName"": ""EDT"", ""quoteType"": ""EQUITY"", ""regularMarketPrice"": {""raw"": 11.3655, ""fmt"": ""11.37""}, ""marketState"": ""REGULAR"", ""market"": ""us_market"", ""quoteSourceName"": ""Nasdaq Real Time Price"", ""priceHint"": 2, ""tradeable"": false, ""sourceInterval"": 15, ""exchange"": ""NMS"", ""region"": ""AU"", ""shortName"": ""Artius Acquisition Inc."", ""triggerable"": true, ""longName"": ""Artius Acquisition Inc.""}], ""error"": null}}"
AACQW,Artius Acquisition Inc Warrant,$2.4799,0.0798,3.325%,0.00,United States,2020,151819,Finance,Business Services,"{""quoteResponse"": {""result"": [{""exchangeTimezoneName"": ""America/New_York"", ""fullExchangeName"": ""NasdaqCM"", ""symbol"": ""AACQW"", ""gmtOffSetMilliseconds"": -14400000, ""exchangeDataDelayedBy"": 0, ""language"": ""en-AU"", ""regularMarketTime"": {""raw"": 1615922783, ""fmt"": ""3:26PM EDT""}, ""exchangeTimezoneShortName"": ""EDT"", ""quoteType"": ""EQUITY"", ""regularMarketPrice"": {""raw"": 2.23, ""fmt"": ""2.2300""}, ""marketState"": ""REGULAR"", ""market"": ""us_market"", ""quoteSourceName"": ""Nasdaq Real Time Price"", ""priceHint"": 4, ""tradeable"": false, ""exchange"": ""NCM"", ""sourceInterval"": 15, ""region"": ""AU"", ""triggerable"": true, ""longName"": ""Artius Acquisition Inc.""}], ""error"": null}}"
AAL,American Airlines Group Inc. Common Stock,$23.31,1.16,5.237%,14910842898.00,United States,,47564693,Transportation,Air Freight/Delivery Services,"{""quoteResponse"": {""result"": [{""exchangeTimezoneName"": ""America/New_York"", ""fullExchangeName"": ""NasdaqGS"", ""symbol"": ""AAL"", ""gmtOffSetMilliseconds"": -14400000, ""exchangeDataDelayedBy"": 0, ""language"": ""en-AU"", ""regularMarketTime"": {""raw"": 1615922785, ""fmt"": ""3:26PM EDT""}, ""exchangeTimezoneShortName"": ""EDT"", ""quoteType"": ""EQUITY"", ""regularMarketPrice"": {""raw"": 24.6852, ""fmt"": ""24.69""}, ""marketState"": ""REGULAR"", ""market"": ""us_market"", ""quoteSourceName"": ""Nasdaq Real Time Price"", ""priceHint"": 2, ""tradeable"": false, ""sourceInterval"": 15, ""exchange"": ""NMS"", ""shortName"": ""American Airlines Group, Inc."", ""region"": ""AU"", ""triggerable"": true, ""longName"": ""American Airlines Group Inc.""}], ""error"": null}}"
AAME,Atlantic American Corporation Common Stock,$4.30,-0.07,-1.602%,87781400.00,United States,,75644,Finance,Life Insurance,"{""quoteResponse"": {""result"": [{""exchangeTimezoneName"": ""America/New_York"", ""fullExchangeName"": ""NasdaqGS"", ""symbol"": ""AAME"", ""gmtOffSetMilliseconds"": -14400000, ""exchangeDataDelayedBy"": 0, ""language"": ""en-AU"", ""regularMarketTime"": {""raw"": 1615922594, ""fmt"": ""3:23PM EDT""}, ""exchangeTimezoneShortName"": ""EDT"", ""quoteType"": ""EQUITY"", ""marketState"": ""REGULAR"", ""regularMarketPrice"": {""raw"": 4.26, ""fmt"": ""4.2600""}, ""market"": ""us_market"", ""quoteSourceName"": ""Nasdaq Real Time Price"", ""priceHint"": 4, ""tradeable"": false, ""exchange"": ""NMS"", ""sourceInterval"": 15, ""region"": ""AU"", ""shortName"": ""Atlantic American Corporation"", ""triggerable"": true, ""longName"": ""Atlantic American Corporation""}], ""error"": null}}"
AAOI,Applied Optoelectronics Inc. Common Stock,$8.96,0.11,1.243%,239228891.00,United States,2013,380153,Technology,Semiconductors,"{""quoteResponse"": {""result"": [{""fullExchangeName"": ""NasdaqGS"", ""exchangeTimezoneName"": ""America/New_York"", ""symbol"": ""AAOI"", ""gmtOffSetMilliseconds"": -14400000, ""exchangeDataDelayedBy"": 0, ""language"": ""en-AU"", ""regularMarketTime"": {""raw"": 1615922753, ""fmt"": ""3:25PM EDT""}, ""exchangeTimezoneShortName"": ""EDT"", ""quoteType"": ""EQUITY"", ""regularMarketPrice"": {""raw"": 8.9499, ""fmt"": ""8.95""}, ""marketState"": ""REGULAR"", ""market"": ""us_market"", ""quoteSourceName"": ""Nasdaq Real Time Price"", ""priceHint"": 2, ""tradeable"": false, ""sourceInterval"": 15, ""exchange"": ""NMS"", ""region"": ""AU"", ""shortName"": ""Applied Optoelectronics, Inc."", ""triggerable"": true, ""longName"": ""Applied Optoelectronics, Inc.""}], ""error"": null}}"
AAON,AAON Inc. Common Stock,$74.94,1.58,2.154%,3918390478.00,United States,,113392,Capital Goods,Industrial Machinery/Components,"{""quoteResponse"": {""result"": [{""exchangeTimezoneName"": ""America/New_York"", ""fullExchangeName"": ""NasdaqGS"", ""symbol"": ""AAON"", ""gmtOffSetMilliseconds"": -14400000, ""exchangeDataDelayedBy"": 0, ""language"": ""en-AU"", ""regularMarketTime"": {""raw"": 1615922462, ""fmt"": ""3:21PM EDT""}, ""exchangeTimezoneShortName"": ""EDT"", ""quoteType"": ""EQUITY"", ""regularMarketPrice"": {""raw"": 73.2, ""fmt"": ""73.20""}, ""marketState"": ""REGULAR"", ""market"": ""us_market"", ""quoteSourceName"": ""Nasdaq Real Time Price"", ""priceHint"": 2, ""tradeable"": false, ""sourceInterval"": 15, ""exchange"": ""NMS"", ""region"": ""AU"", ""shortName"": ""AAON, Inc."", ""triggerable"": true, ""longName"": ""AAON, Inc.""}], ""error"": null}}"
AAPL,Apple Inc. Common Stock,$120.78,-1.18,-0.968%,2094003925200.00,United States,1980,75128493,Technology,Computer Manufacturing,"{""quoteResponse"": {""result"": [{""exchangeTimezoneName"": ""America/New_York"", ""fullExchangeName"": ""NasdaqGS"", ""symbol"": ""AAPL"", ""gmtOffSetMilliseconds"": -14400000, ""exchangeDataDelayedBy"": 0, ""language"": ""en-AU"", ""regularMarketTime"": {""raw"": 1615922789, ""fmt"": ""3:26PM EDT""}, ""exchangeTimezoneShortName"": ""EDT"", ""quoteType"": ""EQUITY"", ""marketState"": ""REGULAR"", ""regularMarketPrice"": {""raw"": 125.64, ""fmt"": ""125.64""}, ""market"": ""us_market"", ""quoteSourceName"": ""Nasdaq Real Time Price"", ""priceHint"": 2, ""tradeable"": false, ""exchange"": ""NMS"", ""sourceInterval"": 15, ""region"": ""AU"", ""shortName"": ""Apple Inc."", ""triggerable"": true, ""longName"": ""Apple Inc.""}], ""error"": null}}"
AAWW,Atlas Air Worldwide Holdings NEW Common Stock,$60.15,-1.51,-2.449%,1732184482.00,United States,,249418,Transportation,Transportation Services,"{""quoteResponse"": {""result"": [{""exchangeTimezoneName"": ""America/New_York"", ""fullExchangeName"": ""NasdaqGS"", ""symbol"": ""AAWW"", ""gmtOffSetMilliseconds"": -14400000, ""exchangeDataDelayedBy"": 0, ""language"": ""en-AU"", ""regularMarketTime"": {""raw"": 1615922768, ""fmt"": ""3:26PM EDT""}, ""exchangeTimezoneShortName"": ""EDT"", ""quoteType"": ""EQUITY"", ""marketState"": ""REGULAR"", ""regularMarketPrice"": {""raw"": 58.76, ""fmt"": ""58.76""}, ""market"": ""us_market"", ""quoteSourceName"": ""Nasdaq Real Time Price"", ""priceHint"": 2, ""tradeable"": false, ""exchange"": ""NMS"", ""sourceInterval"": 15, ""shortName"": ""Atlas Air Worldwide Holdings"", ""region"": ""AU"", ""triggerable"": true, ""longName"": ""Atlas Air Worldwide Holdings, Inc.""}], ""error"": null}}"
