Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry,Yahoo
A,Agilent Technologies Inc. Common Stock,$121.55,-0.28,-0.23%,37035982948.00,United States,1999,839742,Capital Goods,Biotechnology: Laboratory Analytical Instruments,"{""quoteResponse"": {""result"": [{""fullExchangeName"": ""NYSE"", ""exchangeTimezoneName"": ""America/New_York"", ""symbol"": ""A"", ""gmtOffSetMilliseconds"": -14400000, ""exchangeDataDelayedBy"": 0, ""language"": ""en-AU"", ""regularMarketTime"": {""raw"": 1615924802, ""fmt"": ""4:00PM EDT""}, ""exchangeTimezoneShortName"": ""EDT"", ""quoteType"": ""EQUITY"", ""marketState"": ""POST"", ""regularMarketPrice"": {""raw"": 122.93, ""fmt"": ""122.93""}, ""market"": ""us_market"", ""quoteSourceName"": ""Delayed Quote"", ""priceHint"": 2, ""tradeable"": false, ""sourceInterval"": 15, ""exchange"": ""NYQ"", ""region"": ""AU"", ""shortName"": ""Agilent Technologies, Inc."", ""triggerable"": true, ""longName"": ""Agilent Technologies, Inc.""}], ""error"": null}}"
AA,Alcoa Corporation Common Stock ,$31.4331,-0.7269,-2.26%,5854462590.00,,2016,3911923,Basic Industries,Aluminum,"{""quoteResponse"": {""result"": [{""exchangeTimezoneName"": ""America/New_York"", ""fullExchangeName"": ""NYSE"", ""symbol"": ""AA"", ""gmtOffSetMilliseconds"": -14400000, ""exchangeDataDelayedBy"": 0, ""language"": ""en-AU"", ""regularMarketTime"": {""raw"": 1615924798, ""fmt"": ""3:59PM EDT""}, ""exchangeTimezoneShortName"": ""EDT"", ""quoteType"": ""EQUITY"", ""regularMarketPrice"": {""raw"": 29.5166, ""fmt"": ""29.52""}, ""marketState"": ""POST"", ""market"": ""us_market"", ""quoteSourceName"": ""Delayed Quote"", ""priceHint"": 2, ""tradeable"": false, ""sourceInterval"": 15, ""exchange"": ""NYQ"", ""region"": ""AU"", ""shortName"": ""Alcoa Corporation"", ""triggerable"": true, ""longName"": ""Alcoa Corporation""}], ""error"": null}}"
AAIC,Arlington Asset Investment Corp Class A (new),$4.29,-0.06,-1.379%,143304297.00,United States,,91957,Consumer Services,Real Estate Investment Trusts,"{""quoteResponse"": {""result"": [{""fullExchangeName"": ""NYSE"", ""exchangeTimezoneName"": ""America/New_York"", ""symbol"": ""AAIC"", ""gmtOffSetMilliseconds"": -14400000, ""exchangeDataDelayedBy"": 0, ""language"": ""en-AU"", ""regularMarketTime"": {""raw"": 1615924740, ""fmt"": ""3:59PM EDT""}, ""exchangeTimezoneShortName"": ""EDT"", ""quoteType"": ""EQUITY"", ""regularMarketPrice"": {""raw"": 4.03, ""fmt"": ""4.0300""}, ""marketState"": ""POST"", ""market"": ""us_market"", ""quoteSourceName"": ""Delayed Quote"", ""priceHint"": 4, ""tradeable"": false, ""sourceInterval"": 15, ""exchange"": ""NYQ"", ""region"": ""AU"", ""shortName"": ""Arlington Asset Investment Corp"", ""triggerable"": true, ""longName"": ""Arlington Asset Investment Corp.""}], ""error"": null}}"
AAN,Aarons Holdings Company Inc. Common Stock ,$25.32,0.92,3.77%,866068347.00,United States,2020,292092,Technology,Diversified Commercial Services,"{""quoteResponse"": {""result"": [{""exchangeTimezoneName"": ""America/New_York"", ""fullExchangeName"": ""NYSE"", ""symbol"": ""AAN"", ""gmtOffSetMilliseconds"": -14400000, ""exchangeDataDelayedBy"": 0, ""language"": ""en-AU"", ""regularMarketTime"": {""raw"": 1615924787, ""fmt"": ""3:59PM EDT""}, ""exchangeTimezoneShortName"": ""EDT"", ""quoteType"": ""EQUITY"", ""marketState"": ""POST"", ""regularMarketPrice"": {""raw"": 26.84, ""fmt"": ""26.84""}, ""market"": ""us_market"", ""quoteSourceName"": ""Delayed Quote"", ""priceHint"": 2, ""tradeable"": false, ""sourceInterval"": 15, ""exchange"": ""NYQ"", ""shortName"": ""Aarons Holdings Company, Inc."", ""region"": ""AU"", ""triggerable"": true, ""longName"": ""The Aaron's Company, Inc.""}], ""error"": null}}"
AAP,Advance Auto Parts Inc Advance Auto Parts Inc W/I,$179.32,5.68,3.271%,11749838994.00,United States,,724706,Consumer Services,Other Specialty Stores,"{""quoteResponse"": {""result"": [{""fullExchangeName"": ""NYSE"", ""exchangeTimezoneName"": ""America/New_York"", ""symbol"": ""AAP"", ""gmtOffSetMilliseconds"": -14400000, ""exchangeDataDelayedBy"": 0, ""language"": ""en-AU"", ""regularMarketTime"": {""raw"": 1615924802, ""fmt"": ""4:00PM EDT""}, ""exchangeTimezoneShortName"": ""EDT"", ""quoteType"": ""EQUITY"", ""regularMarketPrice"": {""raw"": 178.87, ""fmt"": ""178.87""}, ""marketState"": ""POST"", ""market"": ""us_market"", ""quoteSourceName"": ""Delayed Quote"", ""priceHint"": 2, ""tradeable"": false, ""sourceInterval"": 15, ""exchange"": ""NYQ"", ""region"": ""AU"", ""shortName"": ""Advance Auto Parts Inc Advance "", ""triggerable"": true, ""longName"": ""Advance Auto Parts, Inc.""}], ""error"": null}}"
AAT,American Assets Trust Inc. Common Stock,$35.33,0.62,1.786%,2136528402.00,United States,2011,114050,Consumer Services,Real Estate Investment Trusts,"{""quoteResponse"": {""result"": [{""exchangeTimezoneName"": ""America/New_York"", ""fullExchangeName"": ""NYSE"", ""symbol"": ""AAT"", ""gmtOffSetMilliseconds"": -14400000, ""exchangeDataDelayedBy"": 0, ""language"": ""en-AU"", ""regularMarketTime"": {""raw"": 1615924793, ""fmt"": ""3:59PM EDT""}, ""exchangeTimezoneShortName"": ""EDT"", ""quoteType"": ""EQUITY"", ""regularMarketPrice"": {""raw"": 34.25, ""fmt"": ""34.25""}, ""marketState"": ""POST"", ""market"": ""us_market"", ""quoteSourceName"": ""Delayed Quote"", ""priceHint"": 2, ""tradeable"": false, ""exchange"": ""NYQ"", ""sourceInterval"": 15, ""region"": ""AU"", ""shortName"": ""American Assets Trust, Inc."", ""triggerable"": true, ""longName"": ""American Assets Trust, Inc.""}], ""error"": null}}"
AB,AllianceBernstein Holding L.P.  Units,$38.79,-0.18,-0.462%,3810067920.00,United States,,298725,Finance,Investment Managers,"{""quoteResponse"": {""result"": [{""exchangeTimezoneName"": ""America/New_York"", ""fullExchangeName"": ""NYSE"", ""symbol"": ""AB"", ""gmtOffSetMilliseconds"": -14400000, ""exchangeDataDelayedBy"": 0, ""language"": ""en-AU"", ""regularMarketTime"": {""raw"": 1615924794, ""fmt"": ""3:59PM EDT""}, ""exchangeTimezoneShortName"": ""EDT"", ""quoteType"": ""EQUITY"", ""regularMarketPrice"": {""raw"": 39.215, ""fmt"": ""39.22""}, ""marketState"": ""POST"", ""market"": ""us_market"", ""quoteSourceName"": ""Delayed Quote"", ""priceHint"": 2, ""tradeable"": false, ""sourceInterval"": 15, ""exchange"": ""NYQ"", ""shortName"": ""AllianceBernstein Holding L.P."", ""region"": ""AU"", ""triggerable"": true, ""longName"": ""AllianceBernstein Holding L.P.""}], ""error"": null}}"
ABB,ABB Ltd Common Stock,$30.69,-0.20,-0.647%,62326300647.00,Switzerland,,987014,Consumer Durables,Electrical Products,"{""quoteResponse"": {""result"": [{""exchangeTimezoneName"": ""America/New_York"", ""fullExchangeName"": ""NYSE"", ""symbol"": ""ABB"", ""gmtOffSetMilliseconds"": -14400000, ""exchangeDataDelayedBy"": 0, ""language"": ""en-AU"", ""regularMarketTime"": {""raw"": 1615924794, ""fmt"": ""3:59PM EDT""}, ""exchangeTimezoneShortName"": ""EDT"", ""quoteType"": ""EQUITY"", ""regularMarketPrice"": {""raw"": 30.91, ""fmt"": ""30.91""}, ""marketState"": ""POST"", ""market"": ""us_market"", ""quoteSourceName"": ""Delayed Quote"", ""priceHint"": 2, ""tradeable"": false, ""sourceInterval"": 15, ""exchange"": ""NYQ"", ""shortName"": ""ABB Ltd"", ""region"": ""AU"", ""triggerable"": true, ""longName"": ""ABB Ltd""}], ""error"": null}}"
ABBV,AbbVie Inc. Common Stock,$108.39,0.52,0.482%,191403916379.00,United States,2012,2365412,Health Care,Major Pharmaceuticals,"{""quoteResponse"": {""result"": [{""exchangeTimezoneName"": ""America/New_York"", ""fullExchangeName"": ""NYSE"", ""symbol"": ""ABBV"", ""gmtOffSetMilliseconds"": -14400000, ""exchangeDataDelayedBy"": 0, ""language"": ""en-AU"", ""regularMarketTime"": {""raw"": 1615924803, ""fmt"": ""4:00PM EDT""}, ""exchangeTimezoneShortName"": ""EDT"", ""quoteType"": ""EQUITY"", ""marketState"": ""POST"", ""regularMarketPrice"": {""raw"": 110.88, ""fmt"": ""110.88""}, ""market"": ""us_market"", ""quoteSourceName"": ""Delayed Quote"", ""priceHint"": 2, ""tradeable"": false, ""exchange"": ""NYQ"", ""sourceInterval"": 15, ""shortName"": ""AbbVie Inc."", ""region"": ""AU"", ""triggerable"": true, ""longName"": ""AbbVie Inc.""}], ""error"": null}}"
ABC,AmerisourceBergen Corporation Common Stock,$113.05,3.19,2.904%,23142030258.00,United States,,638003,Health Care,Other Pharmaceuticals,"{""quoteResponse"": {""result"": [{""exchangeTimezoneName"": ""America/New_York"", ""fullExchangeName"": ""NYSE"", ""symbol"": ""ABC"", ""gmtOffSetMilliseconds"": -14400000, ""exchangeDataDelayedBy"": 0, ""language"": ""en-AU"", ""regularMarketTime"": {""raw"": 1615924802, ""fmt"": ""4:00PM EDT""}, ""exchangeTimezoneShortName"": ""EDT"", ""quoteType"": ""EQUITY"", ""regularMarketPrice"": {""raw"": 112.72, ""fmt"": ""112.72""}, ""marketState"": ""POST"", ""market"": ""us_market"", ""quoteSourceName"": ""Delayed Quote"", ""priceHint"": 2, ""tradeable"": false, ""sourceInterval"": 15, ""exchange"": ""NYQ"", ""region"": ""AU"", ""shortName"": ""AmerisourceBergen Corporation"", ""triggerable"": true, ""longName"": ""AmerisourceBergen Corporation""}], ""error"": null}}"
